Time,Current,AcX,AcY,AcZ,GyX,GyY,GyZ,Freq
19:05:31.364,0.35,-11336,4840,-11260,196,0,-83,99.99
19:05:31.373,0.28,-11272,4808,-11192,157,3,-70,90.90
19:05:31.385,0.24,-11404,4764,-11244,220,-30,-75,90.90
19:05:31.393,0.22,-11352,4812,-11244,231,9,-48,99.99
19:05:31.407,0.17,-11372,4772,-11312,189,-6,-60,99.99
19:05:31.414,0.12,-11412,4800,-11212,191,38,-55,90.90
19:05:31.426,0.11,-11276,4824,-11244,165,20,-89,99.99
19:05:31.434,0.08,-11340,4832,-11384,215,11,-57,99.99
19:05:31.447,0.06,-11380,4772,-11252,208,33,-81,90.90
19:05:31.458,0.05,-11308,4816,-11256,172,13,-80,90.90
19:05:31.467,0.04,-11372,4744,-11260,176,14,-39,99.99
19:05:31.479,0.04,-11396,4876,-11240,152,53,-101,99.99
19:05:31.487,0.04,-11356,4812,-11260,221,8,-38,99.99
19:05:31.499,0.03,-11348,4820,-11248,178,26,-81,90.90
19:05:31.508,0.05,-11292,4828,-11304,180,-3,-69,90.90
19:05:31.520,0.06,-11344,4772,-11240,186,7,-90,99.99
19:05:31.529,0.05,-11376,4796,-11264,167,68,-50,99.99
19:05:31.541,0.04,-11348,4796,-11144,241,15,-52,90.90
19:05:31.584,0.05,-11384,4828,-11204,163,-17,-63,99.99
19:05:31.598,0.07,-11292,4876,-11184,194,12,-62,99.99
19:05:31.598,0.05,-11344,4768,-11204,190,24,-63,90.90
19:05:31.599,0.06,-11360,4860,-11236,174,57,-53,90.90
19:05:31.599,0.06,-11296,4784,-11224,196,49,-74,99.99
19:05:31.606,0.08,-11328,4752,-11328,219,-2,-65,99.99
19:05:31.615,0.05,-11284,4804,-11184,178,47,-70,99.99
19:05:31.624,0.08,-11364,4776,-11272,252,-9,-45,90.90
19:05:31.635,0.06,-11308,4724,-11224,157,42,-78,90.90
19:05:31.643,0.07,-11308,4772,-11224,184,54,-79,99.99
19:05:31.655,0.08,-11332,4792,-11152,222,4,-57,99.99
19:05:31.664,0.08,-11400,4868,-11192,201,50,-82,90.90
19:05:31.676,0.07,-11264,4852,-11232,176,-24,-74,99.99
19:05:31.688,0.07,-11400,4788,-11232,201,6,-68,99.99
19:05:31.697,0.08,-11392,4844,-11244,182,-2,-56,90.90
19:05:31.709,0.05,-11396,4856,-11236,186,4,-56,90.90
19:05:31.717,0.06,-11356,4812,-11196,175,-28,-75,99.99
19:05:31.729,0.07,-11360,4824,-11236,199,-10,-65,99.99
19:05:31.738,0.07,-11320,4844,-11200,207,5,-52,99.99
19:05:31.750,0.06,-11352,4832,-11220,153,1,-79,99.99
19:05:31.758,0.06,-11364,4744,-11336,207,25,-39,90.90
19:05:31.770,0.08,-11288,4776,-11220,187,27,-93,90.90
19:05:31.778,0.05,-11380,4820,-11248,215,28,-70,99.99
19:05:31.791,0.07,-11352,4808,-11116,229,-5,-75,99.99
19:05:31.802,0.08,-11348,4804,-11228,180,26,-73,90.90
19:05:31.811,0.08,-11348,4820,-11348,210,-11,-67,99.99
19:05:31.823,0.08,-11268,4864,-11188,203,-7,-51,99.99
19:05:31.832,0.08,-11372,4808,-11228,205,30,-53,90.90
19:05:31.844,0.07,-11332,4856,-11280,232,-7,-74,90.90
19:05:31.852,0.08,-11396,4848,-11280,199,-2,-51,99.99
19:05:31.864,0.09,-11336,4768,-11300,203,44,-83,99.99
19:05:31.872,0.06,-11328,4804,-11244,209,21,-68,99.99
19:05:31.885,0.07,-11308,4796,-11184,158,9,-62,90.90
19:05:31.893,0.06,-11340,4740,-11248,173,2,-67,90.90
19:05:31.906,0.08,-11304,4840,-11240,183,9,-92,99.99
19:05:31.917,0.07,-11296,4800,-11144,159,58,-75,99.99
19:05:31.926,0.07,-11312,4776,-11140,191,37,-62,90.90
19:05:31.938,0.05,-11348,4888,-11196,187,27,-87,99.99
19:05:31.946,0.07,-11344,4864,-11164,202,15,-57,99.99
19:05:31.959,0.06,-11352,4852,-11204,169,21,-74,90.90
19:05:31.967,0.06,-11336,4796,-11144,191,19,-68,90.90
19:05:31.979,0.05,-11408,4868,-11216,192,-10,-46,99.99
19:05:31.987,0.05,-11340,4748,-11196,188,37,-66,99.99
19:05:32.000,0.06,-11384,4884,-11272,213,33,-75,99.99
19:05:32.011,0.06,-11392,4828,-11312,223,-16,-78,90.90
19:05:32.020,0.04,-11284,4800,-11304,160,-19,-68,90.90
19:05:32.032,0.04,-11304,4760,-11180,220,3,-76,99.99
19:05:32.041,0.05,-11328,4800,-11192,204,4,-82,99.99
19:05:32.053,0.04,-11316,4820,-11320,186,10,-80,90.90
19:05:32.061,0.05,-11412,4772,-11152,211,25,-53,99.99
19:05:32.073,0.05,-11380,4796,-11228,200,39,-95,99.99
19:05:32.082,0.04,-11316,4856,-11284,234,-7,-60,90.90
19:05:32.094,0.04,-11380,4840,-11268,209,-7,-54,90.90
19:05:32.109,0.04,-11364,4792,-11220,152,31,-57,99.99
19:05:32.114,0.04,-11308,4840,-11320,202,1,-51,99.99
19:05:32.126,0.04,-11328,4844,-11312,183,10,-89,99.99
19:05:32.135,0.05,-11280,4824,-11244,194,1,-55,99.99
19:05:32.147,0.04,-11292,4804,-11220,242,25,-63,90.90
19:05:32.155,0.04,-11292,4868,-11340,201,22,-66,90.90
19:05:32.167,0.04,-11384,4844,-11268,247,14,-21,99.99
19:05:32.176,0.04,-11344,4804,-11280,229,20,-76,99.99
19:05:32.188,0.05,-11396,4840,-11320,172,1,-58,90.90
19:05:32.196,0.03,-11364,4804,-11272,209,-9,-77,99.99
19:05:32.209,0.06,-11300,4856,-11128,202,-5,-93,99.99
19:05:32.220,0.03,-11368,4756,-11348,176,35,-65,90.90
